event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input4_layer30,4-8K,69298,4,4,decode,1,30,linear_attention,1,False,False,ok,,1814716
input4_layer31,4-8K,69298,4,4,decode,1,31,full_attention,1,False,False,ok,,2381211
input4_layer32,4-8K,69298,4,4,decode,1,32,linear_attention,1,False,False,ok,,1825567
input4_layer33,4-8K,69298,4,4,decode,1,33,linear_attention,1,False,False,ok,,1810516
input4_layer34,4-8K,69298,4,4,decode,1,34,linear_attention,1,False,False,ok,,1818856
input4_layer35,4-8K,69298,4,4,decode,1,35,full_attention,1,False,False,ok,,2388001
input4_layer36,4-8K,69298,4,4,decode,1,36,linear_attention,1,False,False,ok,,1819026
input4_layer37,4-8K,69298,4,4,decode,1,37,linear_attention,1,False,False,ok,,1811116
input4_layer38,4-8K,69298,4,4,decode,1,38,linear_attention,1,False,False,ok,,1814896
input4_layer39,4-8K,69298,4,4,decode,1,39,full_attention,1,False,False,ok,,2378941
input4_layer40,4-8K,69298,4,4,decode,1,40,linear_attention,1,False,False,ok,,1818806
input4_layer41,4-8K,69298,4,4,decode,1,41,linear_attention,1,False,False,ok,,1801476
input4_layer42,4-8K,69298,4,4,decode,1,42,linear_attention,1,False,False,ok,,1811126
input4_layer43,4-8K,69298,4,4,decode,1,43,full_attention,1,False,False,ok,,2367141
input4_layer44,4-8K,69298,4,4,decode,1,44,linear_attention,1,False,False,ok,,1964948
input4_layer45,4-8K,69298,4,4,decode,1,45,linear_attention,1,False,False,ok,,1810286
input4_layer46,4-8K,69298,4,4,decode,1,46,linear_attention,1,False,False,ok,,1807216
input4_layer47,4-8K,69298,4,4,decode,1,47,full_attention,1,False,False,ok,,2367801
input4_layer48,4-8K,69298,4,4,decode,1,48,linear_attention,1,False,False,ok,,1812836
input4_layer49,4-8K,69298,4,4,decode,1,49,linear_attention,1,False,False,ok,,1816757
input4_layer50,4-8K,69298,4,4,decode,1,50,linear_attention,1,False,False,ok,,1822686
input4_layer51,4-8K,69298,4,4,decode,1,51,full_attention,1,False,False,ok,,2379821
input4_layer52,4-8K,69298,4,4,decode,1,52,linear_attention,1,False,False,ok,,1813357
